Start processing data...
Data read
here
and here
1 : 104
10 : 79
101 : 136
103 : 8
105 : 134
106 : 28
11 : 20
110 : 22
111 : 16
111th : 18
114 : 8
115 : 26
116 : 8
117 : 8
118 : 8
12 : 19
120 : 70
122 : 40
123 : 20
127 : 82
129 : 198
13 : 40
130 : 156
131 : 116
132 : 44
133 : 126
134 : 29
136 : 92
138 : 27
139 : 19
143 : 20
144 : 20
145 : 39
147 : 20
15 : 8
150 : 20
153 : 78
157 : 28
16 : 8
160 : 4588
161 : 74
170 : 37
171 : 38
172 : 81
174 : 20
175 : 8
177 : 13
178 : 32
179 : 19
182 : 20
184 : 23
187 : 9
19 : 40
193 : 8
196 : 39
199 : 8
1996 : 2
1997 : 3
1998 : 12
1it : 96
2 : 38
20 : 28
2002 : 1
2011 : 1
2015 : 14
2016 : 15
2018 : 14
209 : 90
211 : 30
212 : 40
215 : 8
217 : 8
219 : 49
22 : 42
220 : 20
221 : 9
23 : 20
230 : 20
232 : 21
233 : 84
236 : 60
237 : 20
239 : 21
240 : 20
246 : 20
251 : 20
252 : 1
258 : 20
259 : 28
26 : 41
260 : 1
262 : 26
263 : 24
264 : 24
265 : 8
266 : 1
267 : 33
27 : 20
270 : 24
271 : 8
272 : 17
273 : 17
274 : 8
275 : 8
276 : 44
277 : 16
279 : 16
280 : 24
281 : 29
282 : 16
283 : 9
284 : 1
286 : 1
289 : 42
290 : 19
291 : 8
293 : 8
294 : 14
295 : 8
297 : 38
298 : 11
299 : 35
3 : 26
30 : 16
33 : 40
35 : 41
36 : 11
37 : 73
39 : 22
4 : 20
40 : 22
41 : 75
42 : 75
43 : 52
44 : 10
48 : 38
49 : 18
5 : 1
50 : 29
51 : 18
52 : 10
53 : 1
54 : 60
55 : 18
56 : 36
57 : 26
58 : 45
6 : 17
60 : 28
62 : 10
64 : 10
67 : 10
7 : 48
71 : 10
73 : 10
74 : 20
77 : 10
80 : 21
81 : 20
8212 : 28
84 : 28
87 : 18
91 : 115
91;1 : 4609
91;10 : 1474
91;11 : 1100
91;12 : 1336
91;13 : 679
91;14 : 685
91;15 : 782
91;16 : 1026
91;17 : 939
91;18 : 596
91;19 : 470
91;2 : 5197
91;20 : 375
91;21 : 421
91;22 : 430
91;23 : 298
91;24 : 246
91;25 : 285
91;26 : 177
91;27 : 180
91;28 : 116
91;29 : 146
91;3 : 3742
91;30 : 133
91;31 : 135
91;32 : 92
91;33 : 92
91;34 : 122
91;35 : 146
91;36 : 137
91;37 : 75
91;38 : 73
91;39 : 72
91;4 : 3040
91;40 : 104
91;41 : 87
91;42 : 68
91;43 : 67
91;44 : 69
91;45 : 78
91;46 : 83
91;47 : 102
91;48 : 103
91;49 : 77
91;5 : 3076
91;50 : 73
91;51 : 66
91;52 : 44
91;53 : 37
91;54 : 36
91;55 : 55
91;56 : 54
91;57 : 36
91;58 : 37
91;59 : 36
91;6 : 1859
91;60 : 54
91;61 : 29
91;62 : 29
91;63 : 19
91;64 : 20
91;65 : 19
91;66 : 19
91;67 : 19
91;68 : 19
91;69 : 19
91;7 : 1881
91;70 : 19
91;71 : 20
91;72 : 19
91;73 : 19
91;74 : 19
91;75 : 19
91;76 : 37
91;77 : 19
91;78 : 18
91;79 : 18
91;8 : 1556
91;80 : 1
91;9 : 1306
92 : 41
93 : 41023
95 : 10
97 : 28
98 : 9
99 : 10
a : 25619
abandon : 66
abandoned : 138
abandoning : 20
abandons : 12
abated : 8
abdicate : 28
abdicated : 20
abducted : 9
abduction : 10
abed : 41
abel : 16
abelar : 32
abetting : 8
abide : 8
abilities : 20
ability : 82
able : 246
ably : 1
aboard : 123
abolish : 10
abolished : 8
abomination : 32
abominations : 20
about : 1455
above : 224
abrupt : 16
abruptly : 28
absconds : 1
absence : 82
absent : 24
absolute : 13
absolutely : 10
absolution : 20
abundantly : 3
abuse : 21
abuses : 9
abusing : 8
abusive : 8
ac : 4611
accent : 17
accentuates : 8
accept : 53
acceptance : 2
accepted : 35
accepting : 1
accepts : 46
access : 12
accessible : 9
accession : 8
accident : 9
accidental : 1
accidentally : 22
acclaim : 16
acclaimed : 8
acclamation : 1
accompanied : 280
accompanies : 137
accompany : 193
accompanying : 16
accomplished : 20
accomplishments : 9
accord : 36
accordance : 29
according : 1363
accords : 18
account : 164
accounts : 122
accusation : 18
accusations : 40
accuse : 36
accused : 125
accuser : 8
accusers : 21
accuses : 30
accusing : 16
achieved : 16
achieves : 8
acknowledge : 48
acknowledged : 37
acknowledges : 1
acknowledging : 21
acok : 21
acolyte : 36
acolyte's : 8
acolytes : 68
acorn : 30
acquiesced : 8
acquire : 30
acquired : 20
acquisition : 1
across : 314
act : 235
acted : 39
acthe : 20
acting : 67
action : 97
actions : 149
active : 8
actively : 6
activities : 1
activity : 8
acts : 82
actual : 40
actually : 75
adam : 19
adaptation : 113
adarys : 8
add : 23
addam : 1454
addam's : 157
added : 11
adding : 24
addison : 76
addition : 95
additional : 41
additionally : 69
addressed : 31
adds : 10
adequate : 44
adherent : 8
administering : 8
administrator : 8
admiral : 44
admired : 10
admirer : 1
admires : 8
admit : 49
admits : 61
admittance : 1
admitted : 66
admitting : 22
adopt : 7
adopts : 8
adored : 28
adorning : 1
adult : 44
adultery : 80
adulthood : 73
adults : 9
advance : 21
advanced : 32
advancement : 8
advances : 8
advancing : 20
advantage : 49
advantageous : 1
adventure : 18
adventurer : 1
adventures : 14
adventurous : 8
advice : 98
advise : 16
advised : 57
adviser : 1
advisers : 1
advises : 86
advisor : 8
advisors : 28
